Job,ENG,SerialNumber,Part,Product,Model Group,Elastomer,Model,Job Comment,Location,Last Labor,StartDate,DueDate,AdhesiveDry,Firm,Scheduled,Ship By,Promise,Day,Week,Expedite,Ship Hold,Prod Hold,Group,Order,L/R,Name,Complete,Risk,StalledDays
MRP00000000023,FALSE,,S700594HS0-PHCBIDTH,S700594HS0,S700,HS,7005940,,MCHSHOP,,5/19/2023 2:23 PM,11/22/2023,,FALSE,FALSE,11/22/2023,11/22/2023,4,47,FALSE,FALSE,FALSE,STATORS,55204,8/9,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000024,FALSE,,S700594HS0-PHCBIDTH,S700594HS0,S700,HS,7005940,,MCHSHOP,,5/19/2023 2:23 PM,12/1/2023,,FALSE,FALSE,12/1/2023,12/1/2023,6,48,FALSE,FALSE,FALSE,STATORS,55204,8/10,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000025,FALSE,,S700594HS0-PHCBIDTH,S700594HS0,S700,HS,7005940,,MCHSHOP,,5/19/2023 2:23 PM,12/1/2023,,FALSE,FALSE,12/1/2023,12/1/2023,6,48,FALSE,FALSE,FALSE,STATORS,55204,8/11,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000026,FALSE,,S700594HS0-PHCBIDTH,S700594HS0,S700,HS,7005940,,MCHSHOP,,5/19/2023 2:23 PM,12/1/2023,,FALSE,FALSE,12/1/2023,12/1/2023,6,48,FALSE,FALSE,FALSE,STATORS,55204,8/12,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000027,FALSE,,S700594HS0-PHCBIDTH,S700594HS0,S700,HS,7005940,,MCHSHOP,,5/19/2023 2:23 PM,12/1/2023,,FALSE,FALSE,12/1/2023,12/1/2023,6,48,FALSE,FALSE,FALSE,STATORS,55204,8/13,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000028,FALSE,,S700594HS0-PHCBIDTH,S700594HS0,S700,HS,7005940,,MCHSHOP,,5/19/2023 2:23 PM,12/8/2023,,FALSE,FALSE,12/8/2023,12/8/2023,6,49,FALSE,FALSE,FALSE,STATORS,55204,8/14,Phoenix Technology Services USA Inc. (TX),,FALSE,
MRP00000000029,FALSE,,S700594HS0-PHCBIDTH,S700594HS0,S700,HS,7005940,,MCHSHOP,,5/19/2023 2:23 PM,12/8/2023,,FALSE,FALSE,12/8/2023,12/8/2023,6,49,FALSE,FALSE,FALSE,STATORS,55204,8/15,Phoenix Technology Services USA Inc. (TX),,FALSE,
129095,FALSE,L158242,S700584HS0-ERCBUO,S700584HS0,S700,HS,7005840,"
EOGPS7110158413
**Use sk21345 or sk21251***",Bartels Rack,8/11/2023 1:13 PM,4/25/2023 3:20 PM,8/24/2023,8/12/2023 1:13 AM,TRUE,TRUE,8/24/2023,9/8/2023,6,36,FALSE,FALSE,FALSE,STATORS,53493,15/3,EOG Resources Inc.,FALSE,FALSE,8
129093,FALSE,L158240,S700584HS0-ERCBUO,S700584HS0,S700,HS,7005840,"
EOGPS7110158411
**Use sk21345 or sk21251***",Bartels Rack,8/11/2023 1:52 PM,4/25/2023 3:20 PM,8/25/2023,8/12/2023 1:52 AM,TRUE,TRUE,8/25/2023,9/8/2023,6,36,FALSE,FALSE,FALSE,STATORS,53493,15/1,EOG Resources Inc.,FALSE,FALSE,8
MRP00000000010,FALSE,,S500770F30,S500770F30,S500,F3,5007700,,T-CLEAN,,8/14/2023 8:46 AM,9/8/2023,,FALSE,FALSE,9/8/2023,9/8/2023,6,36,FALSE,FALSE,FALSE,STATORS,55801,2/6,Altitude Energy Partners - Consolidated Acct,,FALSE,
MRP00000000011,FALSE,,S500770F30,S500770F30,S500,F3,5007700,,T-CLEAN,,8/14/2023 8:46 AM,9/15/2023,,FALSE,FALSE,9/15/2023,9/15/2023,6,37,FALSE,FALSE,FALSE,STATORS,55801,2/7,Altitude Energy Partners - Consolidated Acct,,FALSE,
MRP00000000012,FALSE,,S500770F30,S500770F30,S500,F3,5007700,,T-CLEAN,,8/14/2023 8:46 AM,9/15/2023,,FALSE,FALSE,9/15/2023,9/15/2023,6,37,FALSE,FALSE,FALSE,STATORS,55801,2/8,Altitude Energy Partners - Consolidated Acct,,FALSE,
MRP00000000013,FALSE,,S500770F30,S500770F30,S500,F3,5007700,,T-CLEAN,,8/14/2023 8:46 AM,9/15/2023,,FALSE,FALSE,9/15/2023,9/15/2023,6,37,FALSE,FALSE,FALSE,STATORS,55801,2/9,Altitude Energy Partners - Consolidated Acct,,FALSE,
MRP00000000014,FALSE,,S500770F30,S500770F30,S500,F3,5007700,,T-CLEAN,,8/14/2023 8:46 AM,9/15/2023,,FALSE,FALSE,9/15/2023,9/15/2023,6,37,FALSE,FALSE,FALSE,STATORS,55801,2/10,Altitude Energy Partners - Consolidated Acct,,FALSE,
